DT,Distance,HeartRate,Pace
2023-05-19,5.73,,
2023-05-20,6.26,,
2023-05-21,4.08,,
2023-05-23,6.58,,
2023-05-29,6.55,,
2023-05-30,6.55,,
2023-05-31,6.53,,
2023-06-01,6.57,,
2023-06-02,6.51,,
2023-06-05,6.5,,
2023-06-06,6.65,,
2023-06-07,6.63,,
2023-06-08,6.57,,
2023-06-09,6.17,,
2023-06-12,6.38,,
2023-06-13,6.76,,
2023-06-14,6.84,,
2023-06-15,6.48,,
2023-06-16,1.34,,
2023-06-19,6.58,,
2023-06-20,6.56,,
2023-06-21,6.56,,
2023-06-25,6.37,,
2023-06-26,6.34,,
2023-06-28,6.83,,
2023-06-29,6.37,,
2023-06-30,6.53,,
2023-07-04,6.53,,
2023-07-05,6.57,,
2023-07-06,2.23,,
2023-07-07,6.58,,
2023-07-08,6.54,,
2023-07-10,6.56,,
2023-07-11,6.54,,
2023-07-13,6.6,,
2023-07-14,6.59,,
2023-07-17,6.47,,
2023-07-18,6.56,,
2023-07-20,6.62,,
2023-07-24,6.43,,
2023-07-25,6.57,,
2023-07-27,6.52,,
2023-07-31,6.57,,
2023-08-02,6.36,,
2023-08-04,6.47,,
2023-08-07,6.52,,
2023-08-09,6.51,,
2023-08-11,6.48,,
2023-08-14,6.56,,
2023-08-16,6.54,,
2023-08-18,6.47,,
2023-08-21,6.56,,
2023-08-23,6.45,,
2023-08-25,6.55,,
2023-08-28,6.56,,
2023-08-30,5.19,,
2023-09-01,5.12,,
2023-09-06,5.23,,
2023-09-08,5.06,,
2023-09-14,2.57,,
2023-09-25,6.48,,
2023-09-26,6.47,,
2023-09-27,6.62,,
2023-09-28,5.75,,
2023-09-30,1.8,,
2023-10-05,3.42,,
2023-10-09,6.23,,
2023-10-11,6.51,,
2023-10-13,6.49,,
2023-10-16,6.52,,
2023-10-18,6.54,,
2023-10-20,6.47,,
2023-10-23,6.54,,
2023-10-25,6.51,,
2023-10-27,6.53,,
2023-10-29,2,,
2023-10-30,6.52,,
2023-11-01,6.53,,
2023-11-03,6.53,,
2023-11-17,6.54,,
2023-12-08,3.93,,
2024-03-11,3.4,,
2024-03-13,4.4,,
2024-03-15,4.4,,
2024-03-22,4.4,,
2024-03-29,4.4,,
2024-04-12,6.6,,
2024-04-19,6.5,,
2024-04-22,6.5,,
2024-04-24,6.6,,
2024-04-26,6.5,,
2024-04-29,6.7,,
2024-05-08,5.9,,
2024-05-24,6.6,,
2024-05-27,6.5,,
2024-05-29,6.5,,
2024-05-31,6.4,,
2024-06-03,6.5,,
2024-06-05,5,,
2024-06-07,1.3,,
2024-06-08,5,,
2024-06-10,5.5,,
2024-06-12,5,,
2024-06-14,5,,
2024-06-17,5,,
2024-06-19,5,,
2024-06-21,5,,
2024-06-24,5,,
2024-06-26,5,,
2024-06-28,5,,
2024-07-03,5,,
2024-07-05,5,,
2024-07-08,5,,
2024-07-10,5,,
2024-07-17,5,,
2024-07-19,5,,
2024-07-22,5,,
2024-07-24,5,,
2024-07-26,5,,
2024-07-29,5,,
2024-07-31,5,,
2024-08-02,5,,
2024-08-05,5.41,144,7′25″
2024-08-07,5.54,141,7′14″
2024-08-09,5.79,144,6′56″
2024-08-12,6.01,143,6′41″
2024-08-14,5.89,142,6′48″
2024-08-16,5.88,145,6′49″
2024-08-16,2,,
2024-08-19,5.82,142,6′53″
2024-08-20,2.01,,
2024-08-21,5.9,143,6′48″
2024-08-21,2.11,,
2024-08-22,2.03,,
2024-08-23,5.91,141,6′47″
2024-08-28,6.19,142,6′29″
2024-08-28,2.03,,
2024-08-29,2.03,,
2024-08-30,5.94,144,6′46″
2024-09-02,6.25,142,6′26″
2024-09-04,6.36,148,6′18″
2024-09-06,6.17,140,6′29″
2024-09-09,6.76,140,6′44″
2024-09-11,7.24,141,6′55″
2024-09-13,7.37,143,6′46″
2024-09-16,7.48,139,6′43″
2024-09-18,5.53,144,7′16″
2024-09-22,7.29,133,6′53″
2024-09-23,7.15,142,7′01″
2024-09-25,7.17,141,6′59″
2024-09-27,7.28,140,6′52″
2024-09-29,7.25,142,6′54″
2024-10-03,8.53,140,7′03″
2024-10-06,7.72,140,6′29″
2024-10-08,7.68,138,6′31″
2024-10-10,7.4,140,6′46″
2024-10-12,7.66,137,6′32″
2024-10-14,7.54,140,6′38″
2024-10-21,7.69,145,7′50″
2024-10-23,6.9,143,7′16″
2024-10-25,5.74,141,6′59″
2024-11-01,5.56,142,7′13″
2024-11-04,5.67,138,7′04″
2024-11-06,5.58,140,7′11″
2024-11-09,5.41,143,7′24″
2024-11-13,5.48,141,7′19″
2024-11-15,5.4,142,7′26″
2024-11-20,5.75,140,6′59″
2024-11-22,5.36,145,7′28″
2024-11-27,5.49,141,7′18″
2024-11-29,6.8,141,7′22″
2024-12-06,6.58,144,7′36″
2024-12-09,7.18,139,6′59″
2024-12-11,6.98,141,7′11″
2024-12-16,6.88,146,7′17″
2024-12-27,7.54,145,7′59″
2024-12-30,5.94,144,8′28″
2025-01-01,6.66,143,7′39″
2025-01-03,6.14,136,8′09″
2025-01-20,6.66,136,7′31″
2025-01-22,5.3,145,9′28″
2025-01-24,6.48,139,7′43″
2025-02-10,5.38,145,7′28″
2025-02-25,5.16,141,7′46″
